region,Country Code,program,Status,SurveyRequest,SurveyComplete,WatedTrip,AssetLoad,Activation,Decomm,SurveyCycleTime,InstallCycleTime,e2eCycleTime
EU,IT,Locker,Closed,2023-03-16 02:00:00,,,,2017-12-18 16:00:00,10/7/22 3:00,,,
EU,IT,Locker,Prepare property for installation,2021-09-02 01:00:00,2023-06-07 14:16:00,,,,,643,,
EU,ES,Locker,Activated,,2023-03-23 10:22:00,,2023-03-24,2023-04-12 01:38:00,,,19,
EU,DE,Locker,Activated,2021-01-20 01:02:00,,,2021-04-16,2021-06-24 05:24:00,,,69,155
EU,GB,Locker,Activated,2020-07-06 22:00:00,2020-07-13 07:31:00,,2020-07-20,2020-07-29 16:00:00,,6,9,22
EU,DE,Apt Locker,Activated,2021-11-27 01:00:00,2022-03-23 08:55:00,,2022-03-23,2022-03-30 07:21:00,,116,7,123
APAC,AU,Locker,Closed,2022-12-04 05:00:00,2022-12-13 05:00:00,,,,,9,,
NA,US,Locker,Compliance Review,2023-06-06 20:48:00,2023-06-22 03:00:00,,2021-07-21,2021-10-08 22:00:00,,15,79,
NA,US,Locker,Closed,2021-01-04 22:00:00,2021-01-12 12:00:00,,,,,7,,
EU,DE,Locker,Approve product configuration,2023-05-31 00:01:00,2023-05-25 03:00:00,,,,,,,
EU,GB,Locker,Closed,2020-01-14 00:00:00,2020-03-30 09:06:00,,,2020-06-03 16:00:00,7/9/20 4:00,76,,141
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for installation,2023-07-08 00:00:00,2023-07-13 08:52:00,,2023-07-17,,,5,,
EU,IT,Locker,Prepare property for installation,2023-01-10 01:00:00,2023-06-07 14:24:00,,,,,148,,
EU,ES,Locker,Activated,,2023-02-21 05:24:00,,2023-03-13,2023-04-03 03:10:00,,,21,
EU,DE,Locker,Activated,2021-02-09 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-06-18 08:35:00,,42,87,129
EU,GB,Locker,Activated,2020-10-30 22:01:00,2020-11-23 06:40:00,,2020-12-10,2021-01-04 16:00:00,,23,25,65
EU,DE,Apt Locker,Activated,,2021-11-26 07:00:00,,2021-11-26,2021-12-04 04:39:00,,,8,
APAC,AU,Locker,Closed,2022-03-24 06:00:00,2022-04-11 07:00:00,,2022-03-23,,,18,,
NA,US,Locker,Send approval forms,,2022-06-27 12:00:00,,2021-07-14,2021-08-29 22:00:00,,,46,
NA,US,Locker,Closed,2021-01-04 22:00:00,2021-01-16 12:00:00,,,,,11,,
EU,DE,Locker,Closed,2021-07-26 15:00:00,2021-12-01 06:05:00,,2021-12-01,2021-12-15 03:47:00,4/11/23 15:00,127,14,141
EU,GB,Locker,Activated,,2022-07-29 08:57:00,,2022-08-01,2022-08-02 16:00:00,,,1,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-07 03:43:00,,,,,,,,
EU,IT,Locker,Prepare property for installation,2022-06-09 01:00:00,2023-06-07 14:21:00,,,,,363,,
EU,ES,Locker,Activated,,2023-02-21 05:24:00,,2023-03-13,2023-04-03 03:10:00,,,21,
EU,DE,Locker,Activated,2021-02-09 01:02:00,2021-06-30 05:15:00,,2021-06-30,2021-07-20 13:00:00,,141,20,161
EU,GB,Locker,Activated,2020-07-06 22:00:00,2020-07-13 07:31:00,,2020-07-27,2020-07-30 16:00:00,,6,3,23
EU,DE,Locker,Closed,2021-08-25 15:00:00,2022-04-01 03:07:00,,2022-04-01,2022-04-01 00:00:00,,218,,218
APAC,AU,Locker,Activated,2022-02-28 05:00:00,2022-03-03 05:00:00,,2022-03-04,2022-10-18 18:06:00,4/12/22,3,228,232
NA,US,Locker,Activated,2022-07-12 12:00:00,2022-07-20 12:00:00,,2022-12-28,2023-02-09 12:00:00,,8,43,212
NA,US,Locker,Closed,2021-12-13 22:00:00,2021-12-22 22:00:00,,,,,9,,
EU,DE,Locker,Closed,2021-05-04 15:00:00,2021-08-13 03:44:00,,2021-08-13,2021-08-18 12:44:00,6/14/23 15:00,100,5,105
EU,GB,Locker,Closed,2022-03-31 01:00:00,2022-04-07 07:32:00,,,,,7,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for installation,2023-07-07 00:01:00,2023-07-11 07:11:00,,2023-07-17,,,4,,
EU,IT,Locker,Activated,2021-11-04 02:02:00,2021-11-25 08:50:00,,2022-06-16,2022-06-29 02:13:00,,21,13,237
EU,ES,Locker,Activated,,2023-02-21 05:24:00,,2023-03-13,2023-04-05 03:49:00,,,23,
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-07-08 15:06:00,,78,90,169
EU,GB,Locker,Activated,2021-03-06 01:02:00,,,2021-10-20,2021-10-26 16:00:00,,,6,234
EU,DE,Apt Locker,Activated,,2022-04-01 03:08:00,,2022-04-01,2022-04-10 00:31:00,,,9,
APAC,AU,Locker,Activated,2022-03-01 05:00:00,2022-03-04 05:00:00,,2022-03-10,2022-10-18 18:06:00,3/23/22,3,222,231
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-29 12:00:00,,,,,11,,
NA,US,Locker,Set up software,2023-02-03 12:00:00,2023-02-10 12:00:00,,2023-06-15,2023-07-12 00:00:00,,7,27,158
EU,DE,Locker,Approve product configuration,2023-05-31 00:01:00,2023-06-02 03:00:00,,,,,2,,
EU,GB,Locker,Closed,2020-03-25 22:00:00,2020-03-30 10:14:00,,,,,4,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Schedule consultation,,,,,,,,,
