Date/Time Opened,Provisioned with Installation
10/21/19 4:11,0
6/21/21 3:29,0
3/23/23 4:22,0
1/20/21 0:22,0
6/17/20 5:15,1
11/26/21 1:45,0
12/4/22 22:56,0
3/29/22 2:56,1
3/29/22 4:10,0
5/24/23 8:18,0
1/14/20 4:32,1
7/15/21 1:25,0
7/7/23 5:20,0
1/9/23 6:04,0
2/20/23 6:55,0
1/20/21 0:22,0
10/29/20 2:15,1
11/26/21 6:11,0
2/28/22 19:39,0
3/28/22 22:47,1
3/29/22 3:10,0
7/8/21 10:31,0
7/29/22 8:48,0
7/15/21 1:25,0
7/7/23 3:35,0
6/8/22 7:33,0
2/20/23 6:57,0
1/20/21 0:22,0
6/17/20 5:15,1
8/25/21 6:57,0
2/28/22 19:39,1
7/12/22 15:00,1
3/29/22 3:41,0
5/4/21 5:18,0
3/30/22 2:18,0
7/15/21 1:25,0
7/6/23 0:09,0
10/21/19 4:09,1
2/20/23 6:58,0
1/20/21 0:22,0
1/21/21 5:44,0
4/1/22 2:58,0
3/1/22 18:47,1
3/28/22 20:50,0
2/3/23 14:49,0
5/24/23 8:18,0
3/16/20 9:52,0
7/15/21 1:25,0
7/14/23 7:58,0
10/21/19 3:53,0
2/20/23 6:59,0
1/20/21 0:22,0
1/21/21 5:44,0
3/14/22 14:27,0
2/13/22 23:12,0
3/29/22 3:08,0
3/29/22 3:03,0
5/13/22 6:04,0
3/16/20 9:52,0
7/15/21 2:44,0
7/14/23 7:52,0
10/21/19 3:53,1
4/18/23 1:30,0
1/20/21 0:22,0
1/21/21 5:44,0
3/14/22 14:25,0
2/13/22 23:12,1
3/28/22 21:47,0
3/28/22 23:24,0
6/14/22 4:35,0
3/16/20 9:52,0
7/15/21 2:44,0
7/14/23 7:52,0
10/21/19 3:53,0
3/23/23 4:19,0
1/20/21 0:22,0
1/21/21 5:44,1
3/14/22 14:27,0
2/13/22 23:12,0
3/28/22 21:32,0
2/3/23 14:49,1
5/23/22 3:55,0
2/2/21 8:10,0
7/15/21 2:44,0
7/14/23 7:52,0
10/21/19 3:53,1
4/25/23 6:21,0
1/20/21 0:22,0
1/21/21 5:44,0
3/14/22 14:23,0
2/13/22 23:12,0
3/28/22 21:47,0
3/28/22 21:50,0
8/9/22 1:57,0
2/2/21 8:10,0
7/15/21 2:44,0
7/14/23 7:52,0
10/21/19 3:53,0
4/25/23 6:22,0
1/20/21 0:22,0
1/21/21 5:44,0
3/14/22 14:25,0
2/13/22 23:12,1
3/29/22 0:19,0
2/3/23 14:49,0
4/1/21 6:03,1
2/2/21 8:10,0
7/15/21 2:44,0
7/14/23 7:52,0
5/3/22 5:50,0
4/25/23 6:24,0
1/20/21 0:22,0
1/21/21 5:44,1
5/10/23 3:02,0
2/13/22 23:12,0
3/28/22 21:32,0
2/3/23 14:49,1
5/20/21 2:38,0
2/2/21 8:10,0
7/15/21 2:44,0
7/14/23 7:53,0
7/11/22 2:37,0
4/25/23 6:25,0
1/20/21 0:22,0
1/18/21 5:13,0
5/27/20 6:04,0
2/13/22 23:12,1
3/29/22 3:08,0
2/3/23 14:49,0
12/3/20 12:21,0
4/16/20 8:57,0
7/15/21 2:44,0
7/4/23 10:11,0
6/7/22 7:20,0
5/8/23 13:02,0
1/20/21 0:22,0
1/21/21 5:44,0
6/17/20 7:34,0
