Date/Time Opened,Date/Time Closed,Case Last Modified Date,Status,Survey Request DateTime,Date site was turned over from BD to Ops,Resurvey Request Date,Actual Survey Date,On-site consultation actual date,Survey Uploaded DateTime,Survey Review outcome,Portal Review Date,Install Guide Creation Date,IG: Latest IG revision date,Hub Approval Sent Date,Approval: Form Sent Date,Approval: Received Date,Approval: Rejection Date,Date Trouble Ticket Created,Promised Date,Asset Load date,Failed Install Date,Gen 3 Approval Date,Installation Date,Provisioned Date,Activation Date,Removal Date,Scheduled Decommission date/time,Case Hold Date,Case Off Hold Date,CaseHold,Country Code,Site Survey Vendor/Supplier,Installation Vendor/Supplier,LayoutArrangement,Account Record Type,Case Record Type,#,Survey Cycle Time(Days),IG: Cycle time (days),Approval Cycle Time(Days),Install Cycle Time(Days),Overall Cycle Time,Provisioned with Installation,Installation Request Email Date Time
10/21/19 4:11,3/23/23 9:09,7/17/23,Closed,3/16/23 2:00,,,,,,,,,,,,12/15/22,,,12/19/17,,,,,,12/18/17 16:00,,10/7/22 3:00,11/25/22,12/14/22,0,IT,IT - Ricoh,IT - Ricoh,MMM,Company - Locker/Counter,Locker Onboarding,1,,,,,-1913.38,0,
6/21/21 3:29,,7/18/23,Prepare property for installation,9/2/21 1:00,,,,,6/7/23 14:16,Approved,,,,,,4/18/23,,,,,,,,,,,,6/2/22,5/17/23,0,IT,IT - LAB68,IT - LAB68,MMM,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
3/23/23 4:22,4/12/23 1:38,5/31/23,Activated,,,,,,3/23/23 10:22,Approved,,,,,,,,3/24/23,,,,,4/12/23,,4/12/23 1:38,,,,,0,ES,ES - Self survey,ES - Ricoh,M,Location Locker/Counter,Odin Onboarding EU,1,,,,,,0,3/24/23 2:00
1/20/21 0:22,6/24/21 5:23,5/30/23,Activated,1/20/21 1:02,,,,,,Approved,,,,,,,,4/16/21,,,,,6/21/21,6/21/21,6/24/21 5:24,,,,,0,DE,DE - Tokheim,DE - Tokheim,MM,Location Locker/Counter,Locker Onboarding,1,,,,,155.14,0,4/17/21 1:02
6/17/20 5:15,7/30/20 4:35,5/30/23,Activated,7/6/20 22:00,,,,,7/13/20 7:31,Approved,,,,,,5/30/23,,7/20/20,7/28/20,,,,7/27/20,7/27/20,7/29/20 16:00,,,,,0,GB,GB - Ricoh UK Ltd,GB - Ricoh UK Ltd,AS,Location Locker/Counter,Locker Onboarding,1,,,,,22.75,1,7/20/20 22:00
11/26/21 1:45,3/30/22 7:21,7/17/23,Activated,11/27/21 1:00,,,,,3/23/22 8:55,Approved,,,,,,,,3/23/22,,,,,3/30/22,3/30/22,3/30/22 7:21,,,,,0,DE,DE - NCR (Cardtronics),DE - NCR (Cardtronics),M,Dobby Onboarding EU,Dobby Onboarding EU,1,,,,,,0,3/24/22 2:01
12/4/22 22:56,1/11/23 22:34,1/11/23,Closed,12/4/22 5:00,,,12/13/22 5:00,,12/15/22 19:05,Rejected,,,,,,,,,,,,,,,,,,,,0,AU,AU - NCR (Cardtronics),AU - NCR (Cardtronics),,Location Locker/Counter,Locker Onboarding,1,9,,,,,0,
3/29/22 2:56,,7/17/23,Compliance Review,6/6/23 20:48,,6/6/23,6/22/23 3:00,6/22/23,6/23/23 8:28,Approved,7/14/21,,7/17/23,,,7/17/23,,,,7/21/21,8/13/21,7/15/21 0:00,10/5/21,10/9/21,10/8/21 22:00,,,,,0,US,US - NSA,US - NSA,ASA,Location Locker/Counter NA,Locker Onboarding NA,1,15.26,-716,,76,-605.95,1,
3/29/22 4:10,7/21/22 11:56,6/7/23,Closed,1/4/21 22:00,,,1/12/21 12:00,1/12/21,1/13/21 0:00,Approved,1/14/21,,1/13/21,,,,,,,,,,,,,,,,,0,US,US - NSA,US - NSA,MM,Location Locker/Counter NA,Locker Onboarding NA,1,7.58,0,,,,0,
5/24/23 8:18,,7/17/23,Approve product configuration,5/31/23 0:01,,,5/25/23 3:00,,6/1/23 23:32,Approved,,,,,,,,,,,,,,,,,,,,0,DE,DE - BEM,DE - BEM,MMM,Location Locker/Counter,Locker Onboarding,1,-5.88,,,,,0,
1/14/20 4:32,4/6/20 9:29,3/1/23,Closed,,1/14/20,,,,3/30/20 9:06,,,,,,,,,,,,,,3/29/20,4/3/20,6/3/20 16:00,,7/9/20 4:00,,,0,GB,GB - Principle Link UK  Ltd,,AS,Location Locker/Counter,Locker Onboarding,1,,,,,,1,
7/15/21 1:25,3/1/22 1:47,10/4/22,Closed,7/19/21 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,DE,DE - NCR (Cardtronics),,,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
7/7/23 5:20,,7/18/23,Wait for installation,7/8/23 0:00,,,,,7/13/23 8:52,Approved,,,,,,,,7/17/23,,,,,,,,,,,,0,IT,IT - Ricoh,IT - Ricoh,MM,Location Locker/Counter,Odin Onboarding EU,1,,,,,,0,7/18/23 0:00
1/9/23 6:04,,7/18/23,Prepare property for installation,1/10/23 1:00,,,,,6/7/23 14:24,Approved,,,,,,7/18/23,,,,,,,,,,,,4/3/23,,1,IT,IT - LAB68,IT - LAB68,MMM,Location Locker/Counter,Locker Onboarding,1,,,,,,0,
2/20/23 6:55,4/3/23 3:10,6/29/23,Activated,,,,,,2/21/23 5:24,Approved,,,,,4/28/23,,,3/13/23,,,,,4/3/23,,4/3/23 3:10,,,,,0,ES,ES - Self survey,ES - Ricoh,M,Location Locker/Counter,Odin Onboarding EU,1,,,,,,0,3/14/23 2:01
